scenario,method,seed,collision,min_clearance,progress
Oncoming-default,Base,4278980983,1,0.715228,0.9611
Oncoming-default,Base,4278980984,1,0.265959,0.9611
Oncoming-default,Base,4278980985,1,0.516018,0.9611
Oncoming-default,Base,4278980986,1,0.536540,0.9611
Oncoming-default,Base,4278980987,1,0.446826,0.9611
Oncoming-default,Base,4278980988,1,0.612088,0.9611
Oncoming-default,Base,4278980989,1,0.831841,0.9611
Oncoming-default,Base,4278980990,1,0.559046,0.9611
Oncoming-default,Base,4278980991,1,0.242553,0.9611
Oncoming-default,Base,4278980992,1,0.406349,0.9611
Oncoming-default,Base,4278980993,0,0.918683,0.9611
Oncoming-default,Base,4278980994,1,0.467318,0.9611
Oncoming-default,Base,4278980995,1,0.391928,0.9611
Oncoming-default,Base,4278980996,1,0.351963,0.9611
Oncoming-default,Base,4278980997,1,0.625462,0.9611
Oncoming-default,Base,4278980998,1,0.393148,0.9611
Oncoming-default,Base,4278980999,1,0.312038,0.9611
Oncoming-default,Base,4278981000,1,0.509459,0.9611
Oncoming-default,Base,4278981001,1,0.474977,0.9611
Oncoming-default,Base,4278981002,1,0.433494,0.9611
Oncoming-default,Base,4278981003,1,0.662221,0.9611
Oncoming-default,Base,4278981004,1,0.507033,0.9611
Oncoming-default,Base,4278981005,1,0.379663,0.9611
Oncoming-default,Base,4278981006,1,0.712118,0.9611
Oncoming-default,Base,4278981007,1,0.617183,0.9611
Oncoming-default,Base,4278981008,1,0.492853,0.9611
Oncoming-default,Base,4278981009,1,0.566561,0.9611
Oncoming-default,Base,4278981010,1,0.492187,0.9611
Oncoming-default,Base,4278981011,1,0.390685,0.9611
Oncoming-default,Base,4278981012,1,0.730308,0.9611
Oncoming-default,Base,4278981013,1,0.647049,0.9611
Oncoming-default,Base,4278981014,1,0.447203,0.9611
Oncoming-default,Base,4278981015,0,1.172577,0.9611
Oncoming-default,Base,4278981016,1,0.592731,0.9611
Oncoming-default,Base,4278981017,1,0.431867,0.9611
Oncoming-default,Base,4278981018,1,0.438036,0.9611
Oncoming-default,Base,4278981019,1,0.376862,0.9611
Oncoming-default,Base,4278981020,1,0.469565,0.9611
Oncoming-default,Base,4278981021,1,0.230656,0.9611
Oncoming-default,Base,4278981022,1,0.706704,0.9611
Oncoming-default,Base,4278981023,1,0.533048,0.9611
Oncoming-default,Base,4278981024,1,0.422778,0.9611
Oncoming-default,Base,4278981025,1,0.366913,0.9611
Oncoming-default,Base,4278981026,1,0.326240,0.9611
Oncoming-default,Base,4278981027,1,0.439209,0.9611
Oncoming-default,Base,4278981028,1,0.483010,0.9611
Oncoming-default,Base,4278981029,1,0.501786,0.9611
Oncoming-default,Base,4278981030,1,0.592246,0.9611
Oncoming-default,Base,4278981031,1,0.249895,0.9611
Oncoming-default,Base,4278981032,1,0.698300,0.9611
Oncoming-default,Base,4278981033,0,0.896069,0.9611
Oncoming-default,Base,4278981034,1,0.447485,0.9611
Oncoming-default,Base,4278981035,1,0.575132,0.9611
Oncoming-default,Base,4278981036,1,0.570855,0.9611
Oncoming-default,Base,4278981037,1,0.376738,0.9611
Oncoming-default,Base,4278981038,1,0.580285,0.9611
Oncoming-default,Base,4278981039,1,0.627334,0.9611
Oncoming-default,Base,4278981040,1,0.491436,0.9611
Oncoming-default,Base,4278981041,1,0.800190,0.9611
Oncoming-default,Base,4278981042,1,0.346112,0.9611
Oncoming-default,Base,4278981043,1,0.131094,0.9611
Oncoming-default,Base,4278981044,1,0.310094,0.9611
Oncoming-default,Base,4278981045,1,0.661569,0.9611
Oncoming-default,Base,4278981046,1,0.399695,0.9611
Oncoming-default,Base,4278981047,1,0.428240,0.9611
Oncoming-default,Base,4278981048,1,0.367301,0.9611
Oncoming-default,Base,4278981049,1,0.498934,0.9611
Oncoming-default,Base,4278981050,1,0.442188,0.9611
Oncoming-default,Base,4278981051,1,0.795768,0.9611
Oncoming-default,Base,4278981052,1,0.424259,0.9611
Oncoming-default,Base,4278981053,1,0.639280,0.9611
Oncoming-default,Base,4278981054,1,0.348753,0.9611
Oncoming-default,Base,4278981055,1,0.457154,0.9611
Oncoming-default,Base,4278981056,1,0.404393,0.9611
Oncoming-default,Base,4278981057,1,0.358961,0.9611
Oncoming-default,Base,4278981058,1,0.779406,0.9611
Oncoming-default,Base,4278981059,0,0.969832,0.9611
Oncoming-default,Base,4278981060,1,0.466456,0.9611
Oncoming-default,Base,4278981061,1,0.825015,0.9611
Oncoming-default,Base,4278981062,1,0.455645,0.9611
Oncoming-default,Base,4278981063,1,0.275123,0.9611
Oncoming-default,Base,4278981064,1,0.635241,0.9611
Oncoming-default,Base,4278981065,1,0.655479,0.9611
Oncoming-default,Base,4278981066,1,0.496591,0.9611
Oncoming-default,Base,4278981067,1,0.653100,0.9611
Oncoming-default,Base,4278981068,1,0.437642,0.9611
Oncoming-default,Base,4278981069,1,0.429817,0.9611
Oncoming-default,Base,4278981070,1,0.535748,0.9611
Oncoming-default,Base,4278981071,1,0.377979,0.9611
Oncoming-default,Base,4278981072,1,0.554571,0.9611
Oncoming-default,Base,4278981073,1,0.465917,0.9611
Oncoming-default,Base,4278981074,1,0.679970,0.9611
Oncoming-default,Base,4278981075,1,0.312024,0.9611
Oncoming-default,Base,4278981076,1,0.581232,0.9611
Oncoming-default,Base,4278981077,1,0.439174,0.9611
Oncoming-default,Base,4278981078,1,0.376961,0.9611
Oncoming-default,Base,4278981079,1,0.481368,0.9611
Oncoming-default,Base,4278981080,1,0.218076,0.9611
Oncoming-default,Base,4278981081,1,0.582159,0.9611
Oncoming-default,Base,4278981082,1,0.316200,0.9611
Oncoming-default,Base,4278981083,1,0.553635,0.9611
Oncoming-default,Base,4278981084,1,0.488981,0.9611
Oncoming-default,Base,4278981085,1,0.484085,0.9611
Oncoming-default,Base,4278981086,1,0.539680,0.9611
Oncoming-default,Base,4278981087,1,0.496640,0.9611
Oncoming-default,Base,4278981088,1,0.605022,0.9611
Oncoming-default,Base,4278981089,1,0.295942,0.9611
Oncoming-default,Base,4278981090,1,0.737571,0.9611
Oncoming-default,Base,4278981091,1,0.505497,0.9611
Oncoming-default,Base,4278981092,1,0.816587,0.9611
Oncoming-default,Base,4278981093,1,0.493585,0.9611
Oncoming-default,Base,4278981094,1,0.751658,0.9611
Oncoming-default,Base,4278981095,1,0.274743,0.9611
Oncoming-default,Base,4278981096,1,0.523394,0.9611
Oncoming-default,Base,4278981097,1,0.752495,0.9611
Oncoming-default,Base,4278981098,0,0.916201,0.9611
Oncoming-default,Base,4278981099,1,0.725173,0.9611
Oncoming-default,Base,4278981100,1,0.356032,0.9611
Oncoming-default,Base,4278981101,1,0.273778,0.9611
Oncoming-default,Base,4278981102,1,0.670401,0.9611
Oncoming-default,Base,4278981103,1,0.588848,0.9611
Oncoming-default,Base,4278981104,1,0.593734,0.9611
Oncoming-default,Base,4278981105,1,0.452465,0.9611
Oncoming-default,Base,4278981106,1,0.301187,0.9611
Oncoming-default,Base,4278981107,1,0.400127,0.9611
Oncoming-default,Base,4278981108,1,0.306485,0.9611
Oncoming-default,Base,4278981109,1,0.572094,0.9611
Oncoming-default,Base,4278981110,1,0.447015,0.9611
Oncoming-default,Base,4278981111,1,0.566495,0.9611
Oncoming-default,Base,4278981112,1,0.570048,0.9611
Oncoming-default,Base,4278981113,1,0.465057,0.9611
Oncoming-default,Base,4278981114,1,0.373311,0.9611
Oncoming-default,Base,4278981115,1,0.318914,0.9611
Oncoming-default,Base,4278981116,1,0.403740,0.9611
Oncoming-default,Base,4278981117,1,0.240058,0.9611
Oncoming-default,Base,4278981118,1,0.349177,0.9611
Oncoming-default,Base,4278981119,1,0.214125,0.9611
Oncoming-default,Base,4278981120,1,0.526869,0.9611
Oncoming-default,Base,4278981121,1,0.372286,0.9611
Oncoming-default,Base,4278981122,1,0.334942,0.9611
Oncoming-default,Base,4278981123,1,0.478593,0.9611
Oncoming-default,Base,4278981124,1,0.580525,0.9611
Oncoming-default,Base,4278981125,1,0.451261,0.9611
Oncoming-default,Base,4278981126,1,0.653566,0.9611
Oncoming-default,Base,4278981127,1,0.430300,0.9611
Oncoming-default,Base,4278981128,1,0.767154,0.9611
Oncoming-default,Base,4278981129,1,0.497347,0.9611
Oncoming-default,Base,4278981130,1,0.464316,0.9611
Oncoming-default,Base,4278981131,1,0.493080,0.9611
Oncoming-default,Base,4278981132,1,0.384968,0.9611
Oncoming-default,Base,4278981133,1,0.345940,0.9611
Oncoming-default,Base,4278981134,1,0.326095,0.9611
Oncoming-default,Base,4278981135,1,0.498156,0.9611
Oncoming-default,Base,4278981136,1,0.674966,0.9611
Oncoming-default,Base,4278981137,1,0.060954,0.9556
Oncoming-default,Base,4278981138,1,0.395915,0.9611
Oncoming-default,Base,4278981139,1,0.433540,0.9611
Oncoming-default,Base,4278981140,0,1.037872,0.9611
Oncoming-default,Base,4278981141,1,0.507333,0.9611
Oncoming-default,Base,4278981142,1,0.518497,0.9611
Oncoming-default,Base,4278981143,1,0.464699,0.9611
