step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
35,0,0,turn_left,turn_right,0.025678114876867823,36
35,0,0,turn_right,constant_velocity,0.012870269107658807,36
35,0,0,turn_right,turn_left,0.025678114876867823,36
35,0,0,turn_right,turn_right,0,36
36,0,0,constant_velocity,constant_velocity,0,37
36,0,0,constant_velocity,turn_left,0.012870269107658674,37
36,0,0,constant_velocity,turn_right,0.0128702691076587,37
36,0,0,turn_left,constant_velocity,0.012870269107658674,37
36,0,0,turn_left,turn_left,0,37
36,0,0,turn_left,turn_right,0.025678114876867768,37
36,0,0,turn_right,constant_velocity,0.0128702691076587,37
36,0,0,turn_right,turn_left,0.025678114876867768,37
36,0,0,turn_right,turn_right,0,37
37,0,0,constant_velocity,constant_velocity,0,38
37,0,0,constant_velocity,turn_left,0.01287026910765883,38
37,0,0,constant_velocity,turn_right,0.012870269107658807,38
37,0,0,turn_left,constant_velocity,0.01287026910765883,38
37,0,0,turn_left,turn_left,0,38
37,0,0,turn_left,turn_right,0.025678114876867823,38
37,0,0,turn_right,constant_velocity,0.012870269107658807,38
37,0,0,turn_right,turn_left,0.025678114876867823,38
37,0,0,turn_right,turn_right,0,38
38,0,0,constant_velocity,constant_velocity,0,39
38,0,0,constant_velocity,turn_left,0.012870269107658674,39
38,0,0,constant_velocity,turn_right,0.0128702691076587,39
38,0,0,turn_left,constant_velocity,0.012870269107658674,39
38,0,0,turn_left,turn_left,0,39
38,0,0,turn_left,turn_right,0.025678114876867768,39
38,0,0,turn_right,constant_velocity,0.0128702691076587,39
38,0,0,turn_right,turn_left,0.025678114876867768,39
38,0,0,turn_right,turn_right,0,39
39,0,0,constant_velocity,constant_velocity,0,40
39,0,0,constant_velocity,turn_left,0.01287026910765883,40
39,0,0,constant_velocity,turn_right,0.012870269107658807,40
39,0,0,turn_left,constant_velocity,0.01287026910765883,40
39,0,0,turn_left,turn_left,0,40
39,0,0,turn_left,turn_right,0.025678114876867823,40
39,0,0,turn_right,constant_velocity,0.012870269107658807,40
39,0,0,turn_right,turn_left,0.025678114876867823,40
39,0,0,turn_right,turn_right,0,40
40,0,0,constant_velocity,constant_velocity,0,41
40,0,0,constant_velocity,turn_left,0.012870269107658814,41
40,0,0,constant_velocity,turn_right,0.01287026910765874,41
40,0,0,turn_left,constant_velocity,0.012870269107658814,41
