step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
149,66.680890000000005,1,1,0,0.36942017695351687,20,1,0,-1,-1,-1,1,-1,-1,0,0
150,68.762354999999999,1,1,0,0.48689883017288677,20,1,0,-1,-1,-1,1,-1,-1,0,0
151,68.439025999999998,1,1,0,0.055771073364298131,20,1,0,-1,-1,-1,1,-1,-1,0,0
152,69.869372999999996,1,1,0,0.0034346348362892477,20,1,0,-1,-1,-1,1,-1,-1,0,0
153,70.901398999999998,1,1,0,0.0019366745873071838,20,1,0,-1,-1,-1,1,-1,-1,0,0
154,69.695563000000007,1,1,0,0.0035685142629461519,20,1,0,-1,-1,-1,1,-1,-1,0,0
155,69.995209000000003,1,1,0,0.0053123036326630435,20,1,0,-1,-1,-1,1,-1,-1,0,0
156,69.834682000000001,1,1,0,0.0070651556564516292,20,1,0,-1,-1,-1,1,-1,-1,0,0
157,67.498182999999997,1,1,0,0.0090106357419914782,20,1,0,-1,-1,-1,1,-1,-1,0,0
158,68.102955000000009,1,1,0,0.011139736378237531,20,1,0,-1,-1,-1,1,-1,-1,0,0
159,65.989665000000002,1,1,0,0.013418853704607513,20,1,0,-1,-1,-1,1,-1,-1,0,0
160,69.567233000000002,1,1,0,0.015836502904266782,20,1,0,-1,-1,-1,1,-1,-1,0,0
161,69.562355000000011,1,1,0,0.01838769007358004,20,1,0,-1,-1,-1,1,-1,-1,0,0
