case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,min_vertex_distance,rho_over_min_vertex_distance,zero_min_vertex_distance,any_vertex_reachable,max_q,q_gt_0_9,q_near_one,q_exactly_one
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,12,0,0,13,0.008072376949049824,0.007988442894408783,1.0105069355505798,0,1,0.5557472843085931,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,13,0,0,14,0.007945703712361498,0.00830339942429593,0.9569217746062166,0,0,0.712229354491459,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,14,0,0,15,0.007664276324351332,0.008580179405105876,0.8932536212227088,0,0,0.5247273219806143,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,15,0,0,16,0.007545453100475661,0.008825327388108815,0.8549771321392964,0,0,0.7077513271180571,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,16,0,0,17,0.007401089492219074,0.009043972886462952,0.8183449447639376,0,0,0.6797561055524239,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,17,0,0,18,0.007241882523923586,0.00924019320549858,0.783737132207814,0,0,0.653477513503111,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,18,0,0,19,0.007060747784487816,0.009417270078774577,0.7497658796472148,0,0,0.6770843383406893,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,19,0,0,20,0.006818682944547681,0.008979257516971234,0.7593816005009365,0,0,0.6721537983099479,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,2,0,0,3,0.012122990211159812,0.008580179405105796,1.4129063786178877,0,1,0.3333333333333333,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,20,0,0,21,0.006650123902329364,0.009152191365446236,0.7266154778446464,0,0,0.6919624122097293,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,21,0,0,22,0.006440672503374335,0.008762736413725151,0.735006988603041,0,0,0.6866057047474277,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,22,0,0,23,0.0063522485310133735,0.008930390809395913,0.7113068920040986,0,0,0.6653751186855763,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,23,0,0,24,0.006164054603059044,0.008580179405105845,0.718406260758484,0,0,0.6612143624601705,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,24,0,0,25,0.0060409331970621765,0.008742069582560675,0.6910186586838746,0,0,0.39622641509433965,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,25,0,0,26,0.005968165508206055,0.008892185928927909,0.6711696714292174,0,0,0.6593192888510782,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,26,0,0,27,0.005888522971455691,0.009031767794848256,0.6519790040233895,0,0,0.43859649122807015,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,27,0,0,28,0.005804185590720001,0.009161886483417968,0.6335142441706688,0,0,0.4576271186440678,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,28,0,0,29,0.005661725369971427,0.008861496762650387,0.6389129874576697,0,0,0.4426229508196721,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,29,0,0,30,0.005581869130057129,0.008988759376777653,0.6209832632162585,0,0,0.6059007728873401,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,3,0,0,4,0.01112446967510914,0.0070201467859957924,1.5846491553853113,0,1,0.9326751635005255,1,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,30,0,0,31,0.005451955642414697,0.008712182165184532,0.625785312915254,0,0,0.6042341479082186,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,31,0,0,32,0.005376707037489833,0.008836304163467368,0.6084791716110428,0,0,0.5896047361397168,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,32,0,0,33,0.005316651904121193,0.008953230683588633,0.5938249657597534,0,0,0.6052307214323563,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,33,0,0,34,0.005250755037144159,0.009063569794125986,0.5793252720961142,0,0,0.7037501916169614,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,34,0,0,35,0.005180915630824991,0.009167862926003561,0.5651170477396575,0,0,0.6902203627734408,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,35,0,0,36,0.005078332436210076,0.008923386581309938,0.5691037130282645,0,0,0.630729477168413,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,36,0,0,37,0.004979013893812767,0.008691610306470718,0.5728528682545739,0,0,0.6285713610156137,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,37,0,0,38,0.004882889650553299,0.008471569539218295,0.576385477088802,0,0,0.6264510748807975,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,38,0,0,39,0.004824906502068393,0.008580179405105704,0.5623316569811225,0,0,0.6381116789018622,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,39,0,0,40,0.004764862141552697,0.008683555060589052,0.5487225114951331,0,0,0.6955236222135848,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,4,0,0,5,0.011721426715036343,0.007920165604713203,1.479947175354648,0,1,0.8790847835846758,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,40,0,0,41,0.004680149487486842,0.008479236117986986,0.5519541409583879,0,0,0.36470588235294116,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,41,0,0,42,0.004597949451847631,0.0082843111497574,0.5550189229652822,0,0,0.3563218390804598,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,42,0,0,43,0.0045442026182564805,0.00838736638476642,0.5417913573574062,0,0,0.34831460674157305,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,43,0,0,44,0.004516969287785096,0.0084858917193354,0.5322916479705986,0,0,0.3626373626373626,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,44,0,0,45,0.004442812661045742,0.008303399424296011,0.5350594899777953,0,0,0.3548387096774194,0,0,0
