case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,mode,vertex_distance,rho_over_vertex_distance,zero_vertex_distance,vertex_reachable,nominal_probability,sampling_probability,risk_score
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,25,0,0,26,0.0026540332189165998,turn_left,0.004723786843851068,0.5618444071775471,0,0,0.41818181818181815,0.41818181818181815,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,25,0,0,26,0.0026540332189165998,turn_right,0.00682107675272316,0.3890930002887062,0,0,0.23636363636363636,0.23636363636363636,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,26,0,0,27,0.002616734012347108,constant_velocity,0.003854457822016254,0.6788851073685646,0,0,0.3333333333333333,0.3333333333333333,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,26,0,0,27,0.002616734012347108,turn_left,0.004558039937049435,0.5740919448900229,0,0,0.43859649122807015,0.43859649122807015,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,26,0,0,27,0.002616734012347108,turn_right,0.0069864808841642295,0.3745424993974115,0,0,0.22807017543859648,0.22807017543859648,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,27,0,0,28,0.0025480111415265684,constant_velocity,0.00372379823482912,0.6842505906186652,0,0,0.3559322033898305,0.3559322033898305,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,27,0,0,28,0.0025480111415265684,turn_left,0.004599519489455169,0.5539733329466532,0,0,0.423728813559322,0.423728813559322,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,27,0,0,28,0.0025480111415265684,turn_right,0.00694564040446476,0.3668504260440361,0,0,0.22033898305084745,0.22033898305084745,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,28,0,0,29,0.0025126113816878416,constant_velocity,0.003791269988868296,0.6627360723623543,0,0,0.3442622950819672,0.0,0.016682525522654285
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,28,0,0,29,0.0025126113816878416,turn_left,0.004448715571768114,0.564794791025316,0,0,0.4426229508196721,0.3973528719671443,0.005172181434880074
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,28,0,0,29,0.0025126113816878416,turn_right,0.007096114309196941,0.3540827095233463,0,0,0.21311475409836064,0.6026471280328557,0.028825773310068192
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,29,0,0,30,0.0024759337008004325,constant_velocity,0.0038544578220163746,0.6423558941696247,0,0,0.3333333333333333,0.0,0.08254109637004156
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,29,0,0,30,0.0024759337008004325,turn_left,0.004307486505998022,0.5747977845903365,0,0,0.4603174603174603,0.4127491642926945,0.06997970121170255
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,29,0,0,30,0.0024759337008004325,turn_right,0.007237034315215964,0.3421199337959125,0,0,0.20634920634920634,0.5872508357073055,0.0954499792247257
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,3,0,0,4,0.004997360498511917,constant_velocity,0.0031536473089223125,1.5846288468508711,0,1,0.45454545454545453,0.0,0.11937214357401063
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,3,0,0,4,0.004997360498511917,turn_left,0.005773974287409864,0.865497532506968,0,0,0.2727272727272727,0.06732617482927686,0.11588286790371075
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,3,0,0,4,0.004997360498511917,turn_right,0.0057739742874101,0.8654975325069327,0,0,0.2727272727272727,0.9326738251707231,0.12439161129315385
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,30,0,0,31,0.002438486989511702,constant_velocity,0.003913757173124274,0.6230552590888275,0,0,0.3230769230769231,0.3230769230769231,0.07252337502597586
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,30,0,0,31,0.002438486989511702,turn_left,0.004174948459659557,0.5840759504155763,0,0,0.47692307692307695,0.2655258499852239,0.05905940788449621
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,30,0,0,31,0.002438486989511702,turn_right,0.007369282320864792,0.330898842429685,0,0,0.2,0.4113972269378531,0.08597373615132115
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,31,0,0,32,0.0023826346412965447,constant_velocity,0.003796928600792282,0.6275163143176764,0,0,0.34328358208955223,0.0,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,31,0,0,32,0.0023826346412965447,turn_left,0.004222910796177998,0.5642161902763799,0,0,0.4626865671641791,0.4281938710613609,0.0
