constraint_type,path_config,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
chance-z1.645,Tight-S-sp0.2,DiverseRisk-K1,0.162000,0.140464,0.186123,1.0917,0.3438,0.9578,0.936,1000
chance-z1.645,Tight-S-sp0.4,Base,0.988000,0.979143,0.993122,0.3170,0.0850,0.9568,0.787,1000
chance-z1.645,Tight-S-sp0.4,WDRO-sampling,0.198000,0.174477,0.223834,1.0662,0.3245,0.9579,0.943,1000
chance-z1.645,Tight-S-sp0.4,WDRO-inject-K1,0.153000,0.132019,0.176637,1.0738,0.4379,0.9580,0.951,1000
chance-z1.645,Tight-S-sp0.4,WDRO-inject-K2,0.155000,0.133893,0.178747,1.0703,0.4374,0.9580,0.954,1000
chance-z1.645,Tight-S-sp0.4,TopRisk-K1,0.167000,0.145166,0.191383,1.0617,0.4136,0.9580,0.952,1000
chance-z1.645,Tight-S-sp0.4,TopRisk-K2,0.188000,0.164994,0.213394,1.0448,0.3436,0.9577,0.953,1000
chance-z1.645,Tight-S-sp0.4,DiverseRisk-K1,0.142000,0.121734,0.165006,1.0745,0.4067,0.9579,0.951,1000
chance-z2.0,S-curve-sp0.2,Base,0.557000,0.526052,0.587512,0.9036,0.1678,0.9350,0.801,1000
chance-z2.0,S-curve-sp0.2,WDRO-sampling,0.192000,0.168784,0.217573,1.1156,0.3744,0.9558,0.915,1000
chance-z2.0,S-curve-sp0.2,WDRO-inject-K1,0.167000,0.145166,0.191383,1.1181,0.4336,0.9566,0.924,1000
chance-z2.0,S-curve-sp0.2,WDRO-inject-K2,0.150000,0.129210,0.173469,1.1262,0.4699,0.9567,0.921,1000
chance-z2.0,S-curve-sp0.2,TopRisk-K1,0.181000,0.158372,0.206070,1.1045,0.4098,0.9565,0.926,1000
chance-z2.0,S-curve-sp0.2,TopRisk-K2,0.177000,0.154593,0.201879,1.1055,0.4229,0.9565,0.925,1000
chance-z2.0,S-curve-sp0.2,DiverseRisk-K1,0.170000,0.147991,0.194535,1.1175,0.3689,0.9566,0.923,1000
chance-z2.0,S-curve-sp0.4,Base,0.673000,0.643310,0.701366,0.7491,0.1509,0.9373,0.802,1000
chance-z2.0,S-curve-sp0.4,WDRO-sampling,0.217000,0.192560,0.243606,1.0677,0.4401,0.9562,0.926,1000
chance-z2.0,S-curve-sp0.4,WDRO-inject-K1,0.180000,0.157427,0.205023,1.0708,0.4449,0.9568,0.932,1000
chance-z2.0,S-curve-sp0.4,WDRO-inject-K2,0.206000,0.182081,0.232169,1.0547,0.4096,0.9567,0.939,1000
chance-z2.0,S-curve-sp0.4,TopRisk-K1,0.187000,0.164047,0.212348,1.0617,0.4079,0.9567,0.933,1000
chance-z2.0,S-curve-sp0.4,TopRisk-K2,0.214000,0.189700,0.240489,1.0533,0.4150,0.9565,0.936,1000
chance-z2.0,S-curve-sp0.4,DiverseRisk-K1,0.199000,0.175427,0.224877,1.0498,0.4323,0.9566,0.936,1000
chance-z2.0,Tight-S-sp0.2,Base,0.977000,0.965723,0.984626,0.3637,0.0808,0.9566,0.788,1000
chance-z2.0,Tight-S-sp0.2,WDRO-sampling,0.197000,0.173528,0.222791,1.0912,0.2656,0.9578,0.937,1000
chance-z2.0,Tight-S-sp0.2,WDRO-inject-K1,0.151000,0.130146,0.174525,1.0998,0.3863,0.9577,0.940,1000
chance-z2.0,Tight-S-sp0.2,WDRO-inject-K2,0.162000,0.140464,0.186123,1.0998,0.3686,0.9580,0.940,1000
chance-z2.0,Tight-S-sp0.2,TopRisk-K1,0.153000,0.132019,0.176637,1.1055,0.4193,0.9577,0.935,1000
chance-z2.0,Tight-S-sp0.2,TopRisk-K2,0.168000,0.146108,0.192433,1.0841,0.3156,0.9578,0.940,1000
chance-z2.0,Tight-S-sp0.2,DiverseRisk-K1,0.162000,0.140464,0.186123,1.0893,0.3346,0.9579,0.934,1000
chance-z2.0,Tight-S-sp0.4,Base,0.995000,0.988349,0.997862,0.3064,0.0761,0.9565,0.790,1000
chance-z2.0,Tight-S-sp0.4,WDRO-sampling,0.182000,0.159317,0.207117,1.0782,0.3951,0.9577,0.939,1000
chance-z2.0,Tight-S-sp0.4,WDRO-inject-K1,0.160000,0.138585,0.184017,1.0764,0.3824,0.9578,0.949,1000
chance-z2.0,Tight-S-sp0.4,WDRO-inject-K2,0.150000,0.129210,0.173469,1.0855,0.4339,0.9582,0.949,1000
chance-z2.0,Tight-S-sp0.4,TopRisk-K1,0.152000,0.131082,0.175581,1.0834,0.3636,0.9579,0.944,1000
chance-z2.0,Tight-S-sp0.4,TopRisk-K2,0.171000,0.148933,0.195585,1.0780,0.4134,0.9581,0.946,1000
chance-z2.0,Tight-S-sp0.4,DiverseRisk-K1,0.151000,0.130146,0.174525,1.0875,0.3852,0.9579,0.944,1000
chance-z2.5,S-curve-sp0.2,Base,0.513000,0.482030,0.543871,1.0284,0.1959,0.9266,0.804,1000
chance-z2.5,S-curve-sp0.2,WDRO-sampling,0.241000,0.215515,0.268467,1.0855,0.3598,0.9558,0.925,1000
chance-z2.5,S-curve-sp0.2,WDRO-inject-K1,0.191000,0.167837,0.216528,1.1027,0.3933,0.9566,0.930,1000
chance-z2.5,S-curve-sp0.2,WDRO-inject-K2,0.177000,0.154593,0.201879,1.1020,0.3738,0.9564,0.930,1000
chance-z2.5,S-curve-sp0.2,TopRisk-K1,0.196000,0.172579,0.221748,1.1022,0.3761,0.9565,0.925,1000
chance-z2.5,S-curve-sp0.2,TopRisk-K2,0.196000,0.172579,0.221748,1.1105,0.3791,0.9563,0.931,1000
chance-z2.5,S-curve-sp0.2,DiverseRisk-K1,0.195000,0.171630,0.220705,1.0962,0.3368,0.9563,0.929,1000
chance-z2.5,S-curve-sp0.4,Base,0.624000,0.593557,0.653494,0.8367,0.1616,0.9312,0.806,1000
chance-z2.5,S-curve-sp0.4,WDRO-sampling,0.236000,0.210723,0.263298,1.0550,0.4151,0.9561,0.933,1000
chance-z2.5,S-curve-sp0.4,WDRO-inject-K1,0.230000,0.204979,0.257087,1.0292,0.3945,0.9565,0.948,1000
chance-z2.5,S-curve-sp0.4,WDRO-inject-K2,0.190000,0.166889,0.215484,1.0761,0.4445,0.9568,0.934,1000
chance-z2.5,S-curve-sp0.4,TopRisk-K1,0.202000,0.178277,0.228004,1.0629,0.4070,0.9565,0.937,1000
chance-z2.5,S-curve-sp0.4,TopRisk-K2,0.206000,0.182081,0.232169,1.0572,0.4215,0.9567,0.937,1000
chance-z2.5,S-curve-sp0.4,DiverseRisk-K1,0.175000,0.152705,0.199782,1.0729,0.4155,0.9565,0.935,1000
chance-z2.5,Tight-S-sp0.2,Base,0.969000,0.956334,0.978076,0.3749,0.0921,0.9569,0.785,1000
chance-z2.5,Tight-S-sp0.2,WDRO-sampling,0.188000,0.164994,0.213394,1.1230,0.2105,0.9579,0.936,1000
chance-z2.5,Tight-S-sp0.2,WDRO-inject-K1,0.139000,0.118936,0.161827,1.1334,0.3897,0.9579,0.928,1000
chance-z2.5,Tight-S-sp0.2,WDRO-inject-K2,0.124000,0.105000,0.145878,1.1357,0.4381,0.9578,0.932,1000
chance-z2.5,Tight-S-sp0.2,TopRisk-K1,0.134000,0.114281,0.156521,1.1379,0.3792,0.9579,0.931,1000
chance-z2.5,Tight-S-sp0.2,TopRisk-K2,0.144000,0.123601,0.167124,1.1258,0.3441,0.9578,0.935,1000
chance-z2.5,Tight-S-sp0.2,DiverseRisk-K1,0.159000,0.137646,0.182964,1.1368,0.3674,0.9580,0.929,1000
chance-z2.5,Tight-S-sp0.4,Base,0.987000,0.977885,0.992387,0.3204,0.0780,0.9568,0.785,1000
chance-z2.5,Tight-S-sp0.4,WDRO-sampling,0.190000,0.166889,0.215484,1.0818,0.3523,0.9579,0.940,1000
chance-z2.5,Tight-S-sp0.4,WDRO-inject-K1,0.164000,0.142344,0.188228,1.0953,0.3808,0.9582,0.939,1000
chance-z2.5,Tight-S-sp0.4,WDRO-inject-K2,0.144000,0.123601,0.167124,1.1000,0.4150,0.9580,0.943,1000
chance-z2.5,Tight-S-sp0.4,TopRisk-K1,0.139000,0.118936,0.161827,1.1034,0.4037,0.9581,0.941,1000
chance-z2.5,Tight-S-sp0.4,TopRisk-K2,0.152000,0.131082,0.175581,1.0962,0.3942,0.9580,0.946,1000
chance-z2.5,Tight-S-sp0.4,DiverseRisk-K1,0.130000,0.110563,0.152268,1.1142,0.4414,0.9581,0.934,1000
