test,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,mean_progress,mean_solve_ms,n_rollouts
C-combined,rn10_sn20,Base,0.754000,0.726368,0.779688,0.6689,0.9354,0.815,1000
C-combined,rn10_sn20,WDRO-sampling,0.155000,0.133893,0.178747,1.0733,0.9582,0.960,1000
C-combined,rn10_sn20,WDRO-inject-K1,0.148000,0.127339,0.171356,1.0853,0.9579,0.975,1000
C-combined,rn10_sn20,WDRO-inject-K2,0.163000,0.141404,0.187176,1.0578,0.9581,0.972,1000
C-combined,rn10_sn20,TopRisk-K1,0.152000,0.131082,0.175581,1.0773,0.9581,0.976,1000
C-combined,rn10_sn20,TopRisk-K2,0.147000,0.126404,0.170298,1.0746,0.9580,0.973,1000
C-combined,rn10_sn20,DiverseRisk-K1,0.167000,0.145166,0.191383,1.0676,0.9583,0.976,1000
C-combined,rn20_sn30,Base,0.680000,0.650446,0.708176,0.7688,0.9451,0.828,1000
C-combined,rn20_sn30,WDRO-sampling,0.147000,0.126404,0.170298,1.0901,0.9586,0.961,1000
C-combined,rn20_sn30,WDRO-inject-K1,0.154000,0.132956,0.177692,1.0821,0.9583,0.973,1000
C-combined,rn20_sn30,WDRO-inject-K2,0.156000,0.134831,0.179802,1.0711,0.9585,0.970,1000
C-combined,rn20_sn30,TopRisk-K1,0.148000,0.127339,0.171356,1.0873,0.9585,0.974,1000
C-combined,rn20_sn30,TopRisk-K2,0.160000,0.138585,0.184017,1.0743,0.9583,0.982,1000
C-combined,rn20_sn30,DiverseRisk-K1,0.155000,0.133893,0.178747,1.0966,0.9584,0.976,1000
C-combined,rn50_sn50,Base,0.568000,0.537095,0.598384,0.9782,0.9423,0.819,1000
C-combined,rn50_sn50,WDRO-sampling,0.127000,0.107780,0.149075,1.1434,0.9590,0.953,1000
C-combined,rn50_sn50,WDRO-inject-K1,0.154000,0.132956,0.177692,1.1405,0.9587,0.969,1000
C-combined,rn50_sn50,WDRO-inject-K2,0.114000,0.095761,0.135193,1.1794,0.9587,0.963,1000
C-combined,rn50_sn50,TopRisk-K1,0.140000,0.119868,0.162887,1.1462,0.9587,0.972,1000
C-combined,rn50_sn50,TopRisk-K2,0.127000,0.107780,0.149075,1.1567,0.9588,0.959,1000
C-combined,rn50_sn50,DiverseRisk-K1,0.134000,0.114281,0.156521,1.1376,0.9587,0.981,1000
C-combined,rn20_sn30-tight,Base,0.871000,0.848796,0.890365,0.5103,0.9567,0.783,1000
C-combined,rn20_sn30-tight,WDRO-sampling,0.246000,0.220312,0.273632,0.9926,0.9575,0.983,1000
C-combined,rn20_sn30-tight,WDRO-inject-K1,0.195000,0.171630,0.220705,1.0313,0.9575,0.989,1000
C-combined,rn20_sn30-tight,WDRO-inject-K2,0.196000,0.172579,0.221748,1.0355,0.9576,1.002,1000
C-combined,rn20_sn30-tight,TopRisk-K1,0.208000,0.183984,0.234251,1.0215,0.9578,1.007,1000
C-combined,rn20_sn30-tight,TopRisk-K2,0.205000,0.181130,0.231128,1.0131,0.9577,1.004,1000
C-combined,rn20_sn30-tight,DiverseRisk-K1,0.230000,0.204979,0.257087,0.9979,0.9577,1.010,1000
C-combined,rn50_sn50-tight,Base,0.710000,0.681114,0.737278,0.7779,0.9557,0.808,1000
C-combined,rn50_sn50-tight,WDRO-sampling,0.173000,0.150819,0.197684,1.0888,0.9575,0.969,1000
C-combined,rn50_sn50-tight,WDRO-inject-K1,0.176000,0.153649,0.200831,1.0861,0.9577,0.996,1000
C-combined,rn50_sn50-tight,WDRO-inject-K2,0.173000,0.150819,0.197684,1.0836,0.9575,0.987,1000
C-combined,rn50_sn50-tight,TopRisk-K1,0.169000,0.147049,0.193484,1.0997,0.9574,0.973,1000
C-combined,rn50_sn50-tight,TopRisk-K2,0.170000,0.147991,0.194535,1.1039,0.9577,0.968,1000
C-combined,rn50_sn50-tight,DiverseRisk-K1,0.180000,0.157427,0.205023,1.0890,0.9576,0.967,1000
