obstacle_speed,path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Tight-S,Softmax-tau5,0.330000,0.290217,0.372375,0.000000,0.000000,0.000177,0.000000,0.000000,0.000382,0.9337,0.1730,0.9580,1.200,500
0.8,Circle,Base,0.000000,0.000000,0.007625,0.691200,0.683758,0.698544,0.831163,0.821990,0.839955,2.1447,1.6757,0.9648,0.642,500
0.8,Circle,WDRO-sampling,0.000000,0.000000,0.007625,0.010133,0.008651,0.011866,0.003288,0.002173,0.004974,2.2054,1.8026,0.9648,0.794,500
0.8,Circle,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000587,2.1753,1.7935,0.9648,0.855,500
0.8,Circle,WDRO-inject-K2,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000587,2.1811,1.7920,0.9648,0.792,500
0.8,Circle,TopRisk-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000558,2.1858,1.8126,0.9648,0.783,500
0.8,Circle,TopRisk-K2,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000558,2.1909,1.8215,0.9648,0.759,500
0.8,Circle,DiverseRisk-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000603,2.1728,1.7475,0.9648,0.763,500
0.8,Circle,Softmax-tau5,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000585,2.1950,1.7333,0.9648,0.831,500
1.2,Straight,Base,0.604000,0.560495,0.645919,0.732331,0.727336,0.737268,0.809119,0.802580,0.815492,0.7902,0.1566,0.9539,0.951,500
1.2,Straight,WDRO-sampling,0.180000,0.148804,0.216075,0.046729,0.044190,0.049405,0.050807,0.046965,0.054944,1.0184,0.5080,0.9615,1.084,500
