step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
126,78.166171000000006,1,1,0,5.6570942968592243e-17,20,1,0,-1,-1,-1,1,-1,-1,0,0
127,72.353439000000009,1,1,0,9.8436190643310881e-18,20,1,0,-1,-1,-1,1,-1,-1,0,0
128,74.090272999999996,1,1,0,4.3134859819878136e-17,20,1,0,-1,-1,-1,1,-1,-1,0,0
129,71.341955999999996,1,1,0,1.5041451737333273e-18,20,1,0,-1,-1,-1,1,-1,-1,0,0
130,74.863045,1,1,0,9.1611851414641981e-18,20,1,0,-1,-1,-1,1,-1,-1,0,0
131,73.131921000000006,1,1,0,2.7405413557465617e-18,20,1,0,-1,-1,-1,1,-1,-1,0,0
132,71.364749000000003,1,1,0,3.1158263885281118e-18,20,1,0,-1,-1,-1,1,-1,-1,0,0
133,75.552448999999996,1,1,0,4.6735508322993829e-19,20,1,0,-1,-1,-1,1,-1,-1,0,0
134,77.770682999999991,1,1,0,7.4110606014186872e-19,20,1,0,-1,-1,-1,1,-1,-1,0,0
135,71.611565999999996,1,1,0,0.31922560334344008,20,1,0,-1,-1,-1,1,-1,-1,0,0
136,76.382831999999993,1,1,0,0.12352379376704488,20,1,0,-1,-1,-1,1,-1,-1,0,0
137,66.849471999999992,1,1,0,0.2728457636154501,20,1,0,-1,-1,-1,1,-1,-1,0,0
138,70.929855000000003,1,1,0,0.61414912141432332,20,1,0,-1,-1,-1,1,-1,-1,0,0
139,71.288642999999993,1,1,0,0.07672178342321051,20,1,0,-1,-1,-1,1,-1,-1,0,0
140,68.890518999999998,1,1,0,0.0039220298546280702,20,1,0,-1,-1,-1,1,-1,-1,0,0
141,67.000146000000001,1,1,0,0.0015779925732586702,20,1,0,-1,-1,-1,1,-1,-1,0,0
142,67.507846999999998,1,1,0,0.0031158889146150003,20,1,0,-1,-1,-1,1,-1,-1,0,0
143,66.389190999999997,1,1,0,0.0048299206660548369,20,1,0,-1,-1,-1,1,-1,-1,0,0
144,67.325761999999997,1,1,0,0.0065228549892201578,20,1,0,-1,-1,-1,1,-1,-1,0,0
145,71.317367000000004,1,1,0,0.0084088720803902166,20,1,0,-1,-1,-1,1,-1,-1,0,0
146,66.347853000000001,1,1,0,0.010487836064940536,20,1,0,-1,-1,-1,1,-1,-1,0,0
147,65.795728999999994,1,1,0,0.012721942154650898,20,1,0,-1,-1,-1,1,-1,-1,0,0
148,66.405541999999997,1,1,0,0.015270745733253679,20,1,0,-1,-1,-1,1,-1,-1,0,0
149,68.06731400000001,1,1,0,0.017872533961756545,20,1,0,-1,-1,-1,1,-1,-1,0,0
